Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Label
2017/11/28,2017,11,28,Tuesday,48,2017-48,54.38,55.35,54.26,55.05,6209200,55.05,0.015870098,55.04142857,60.4862,Green
2017/11/29,2017,11,29,Wednesday,48,2017-48,54.88,55.22,54.44,55.06,3996900,55.06,0.000181692,54.98642857,60.2126,Green
2017/11/30,2017,11,30,Thursday,48,2017-48,55.07,55.28,53.01,54.24,11086500,54.24,-0.014892838,54.86428571,59.9272,Green
2017/12/1,2017,12,1,Friday,48,2017-48,54.2,54.66,53.52,54.13,5284200,54.13,-0.002028035,54.66285714,59.637,Green
2017/12/4,2017,12,4,Monday,49,2017-49,54.28,54.42,53.37,53.52,4594200,53.52,-0.011269178,54.42214286,59.3402,Red
2017/12/5,2017,12,5,Tuesday,49,2017-49,53.65,53.71,52.6,53.6,4675800,53.6,0.001494731,54.20714286,59.0372,Red
2017/12/6,2017,12,6,Wednesday,49,2017-49,53.8,53.89,53.03,53.06,4275100,53.06,-0.010074573,54.02357143,58.7284,Red
2017/12/7,2017,12,7,Thursday,49,2017-49,53.06,53.15,52.48,52.96,4303800,52.96,-0.001884702,53.86714286,58.4388,Red
2017/12/8,2017,12,8,Friday,49,2017-49,52.88,53.46,52.61,53.46,3299200,53.46,0.009441088,53.82857143,58.147,Red
2017/12/11,2017,12,11,Monday,50,2017-50,53.26,53.74,52.74,53.71,4697100,53.71,0.004676394,53.90428571,57.8594,Red
2017/12/12,2017,12,12,Tuesday,50,2017-50,53.48,53.88,53.32,53.43,3504400,53.43,-0.005213159,53.88285714,57.5654,Red
2017/12/13,2017,12,13,Wednesday,50,2017-50,53.67,53.79,52.94,53.09,4851000,53.09,-0.006363469,53.82571429,57.261,Red
2017/12/14,2017,12,14,Thursday,50,2017-50,53.02,53.18,52.66,52.72,2451300,52.72,-0.006969277,53.73,56.9314,Red
2017/12/15,2017,12,15,Friday,50,2017-50,52.96,53.47,52.89,53.05,5757300,53.05,0.006259446,53.64857143,56.611,Red
2017/12/18,2017,12,18,Monday,51,2017-51,52.8,53.04,52.42,52.5,4235100,52.5,-0.010367564,53.46642857,56.2842,Red
2017/12/19,2017,12,19,Tuesday,51,2017-51,52.46,53.18,52.01,52.05,3638100,52.05,-0.008571443,53.25142857,55.9522,Red
2017/12/20,2017,12,20,Wednesday,51,2017-51,52,52.44,51,51.12,5923600,51.12,-0.017867441,53.02857143,55.5908,Red
